Query,Category
I need to drink 4 liters of water every day ,2
I need to create a 10-slide presentation from 8 am to 9 am today,0
I have to create new venture online education platform,4
I have to attend the graduation ceremony on March 15th from  8.30 am to 2 pm,1
"I want to start sewing project called ""Home Decor""",3
I have to read 300 page book tomorrow at 10 am for 4 hours,0
I want to develop new mobile app venture,4
I have to finish sdgp project before 20th of March,3
I have to participate in a charity programme tomorrow for 4 hours from 11am,1
I need to cover previous lecture recording from 2 pm to 4 pm today,0
I have my dinner from 8.30 pm to 9 pm,2
I plan to study figma today from 9 am to 11 am,0
I am going to attend a 3 hour live music concert tomorrow from 6pm to 10 pm,1
I usually going to bed from 11.30 pm 6.30 am everyday,2
I create project UI today within 2 hours,3
"I want to build own website called ""Nature Sri Lanka""",4
I watch youtube tutorials for  2 hours from 2 pm today,0
I am going to visit the museum tomorrow for 2 hours from 10 am,1
I clean my room every weekend ,2
I have to write project report ,3
I want to start  social service venture,4
learn PHP from 7 am to 9 am tomorrow,0
I have to attend the birthday party on March 2nd from 6 pm to 9 pm,1
I have my lunch for 1 hour from 1 pm,2
I want to study business project tomorrow,3
"I am going to open new cake shop called ""cake by Imashi""",4
Charge my phone at 9 pm for 2 hours,0
watering plants at 5 pm for 15 minutes ,0
Have to join pongal festival tomorrow from 9 am to 11 am,1
Have to attend a wedding today at 10 am for 5 hours,1
Have to visit art gallery today from 2pm to 3 pm,1
Review today's lecture notes for one hour from 8.30 pm,2
Brush my teeth at 9 pm for 5 minutes everyday,2
Combing my hair twice a day for 10 minutes,2
Clean my bed for 5 minutes everyday,2
I have to complete homework for 2 hours from 10am  today.,0
I have to do self study for sdgp project for 5 hours,3
start a database project by this week,3
Do more exercises for project tomorrow,3
need to study sample questions about project work today,3
Launch the new clothing store by end of this week,4
Start learning embroidery from this Monday for my new business,4
open a saloon  for ladies only.,4
Start a music class for children age above 10 years,4
Charge my laptop at 7 pm for 3 hours every day,2
Walk my dog at 6 am for 30 minutes every morning,2
Have to attend a business meeting tomorrow from 2 pm to 4 pm,1
Need to clean the kitchen for 15 minutes every evening,2
Start a blog about my passion for cooking and food by next month,4
Practice a new language for 30 minutes every day,2
Schedule a dentist appointment for 2 hours from 5pm today,0
Start a book club with friends to discuss and discover new literature by next week,4
Create a budget plan for my finances today from 10 am to 11 am,0
Attend a dance class from 4.30 pm to 6.30 pm,1
Take a walk in the park at 7 am for 30 minutes,0
Attend a job interview tomorrow at 2 pm for 2 hours,1
Visit a friend's house today at 5 pm for 1 hour,1
Read a book for 30 minutes from 11 pm before bedtime everyday,2
Cook dinner for 1 hour at 6 pm everyday,2
Do laundry for 30 minutes from 7 pm,0
Start a new blog by the end of this month,4
Attend a business networking event tomorrow for 2 hours from 10 am,1
Complete a writing assignment for 2 hours from 1 pm tomorrow,0
Research new market trends for my business for 2 hours from 8 am,0
Prepare for a presentation for 3 hours from 9 am on Wednesday,0
Start a social media campaign by next Monday,4
Have to do ML parts on my project ,3
Want to practice project MongoDB ,3
"Create a project called ""fitness tracking application""",3
"Develop a project ""travel planning application""",3
Develop a task management system by the end of this month,4
Attend a webinar on digital marketing for 1 hour from 3 pm today,1
Write a blog post about the benefits of meditation today from 8 am to 9 am.,0
Start a photography class every Saturday by the end of this month,4
Schedule a doctor's appointment for a check-up from tomorrow 5pm to 7 pm,0
Start a YouTube channel about travel and adventure by next month,4
Attend a conference on leadership skills next Tuesday for 3 hours from 10 am,1
Work on a project proposal for 2 hours every day,3
Learn a new recipe and cook it for dinner tonight,3
Attend a workshop on public speaking skills next Saturday for 4 hours from 8 am,1
Create a vision board for personal and professional goals by the end of this month.,4
Clean the bathroom for 20 minutes every other day for 7pm,0
Attend a concert with friends next Saturday from 7 pm to 10 pm,1
I'm going to a film screening from 7.00PM to 9.00PM this Wednesday.,1
Attend a networking event from 6.00PM to 8.00PM this Thursday,1
Have to go a concert from 8.00PM to 10.00PM this Saturday.,1
I'm going to a workshop from 10.00AM to 12.00PM tomorrow.,1
Have to go to a beach clean-up event from 9.00AM to 11.00AM this Sunday.,1
Attend to a panel discussion from 2.00PM to 4.00PM this Friday.,1
I'm going to a hiking trip from 9.00AM to 12.00PM this Saturday.,1
I'm going to a charity auction from 7.00PM to 10.00PM this Friday.,1
I'm going to a cooking competition from 2.00PM to 4.00PM this Sunday.,1
Have to go to a fashion show from 7.00PM to 9.00PM this Thursday.,1
