Query,Category
I need to create a 10-slide presentation from 8 am to 9 am today,0
I have to read 300 page book tomorrow at 10 am for 4 hours,0
I want to participate to a  conference meeting at 4.30 pm for  2 hours, 1
I need to cover previous lecture recording from 2 pm to 4 pm today,0
I plan to study figma today from 9 am to 11 am,0
I watch youtube tutorials for  2 hours from 2 pm today,0
learn PHP from 7 am to 9 am tomorrow,0
Charge my phone at 9 pm for 2 hours,0
watering plants at 5 pm for 15 minutes ,0
I have to complete homework for 2 hours from 10am  today.,0
Schedule a dentist appointment for 2 hours from 5pm today,0
Create a budget plan for my finances today from 10 am to 11 am,0
Take a walk in the park at 7 am for 30 minutes,0
Do laundry for 30 minutes from 7 pm,0
Complete a writing assignment for 2 hours from 1 pm tomorrow,0
Research new market trends for my business for 2 hours from 8 am,0
Prepare for a presentation for 3 hours from 9 am on Wednesday,0
Write a blog post about the benefits of meditation today from 8 am to 9 am.,0
Schedule a doctor's appointment for a check-up from tomorrow 5pm to 7 pm,0
Clean the bathroom for 20 minutes every other day for 7pm,0
I plan to have a coffee break from 10.00AM to 10.15AM this morning.,0
I aim to complete a blog post from 2.00PM to 3.00PM this afternoon.,0
I intend to take a walk from 5.00PM to 6.00PM this evening.,0
I plan to mop the floor from 12pm to 1pm,0
I hope to watch a movie from 8.00PM to 10.00PM this Saturday.,0
I desire to cook a new recipe from 6.00PM to 7.00PM this Sunday.,0
I plan to attend a webinar from 1.00PM to 2.00PM this Monday.,0
I aim to complete a home project from 4.00PM to 6.00PM this Tuesday.,0
I intend to have a brainstorming session from 11.00AM to 12.00PM this Wednesday.,0
I hope to take a nap from 3.00PM to 4.00PM this Thursday.,0
I want to finish a crossword puzzle from 7.00PM to 8.00PM tonight.,0
I plan to have a family dinner from 6.00PM to 7.00PM this Friday.,0
I aim to finish a DIY project from 10.00AM to 11.00AM this Saturday.,0
I intend to do some gardening from 3.00PM to 4.00PM this Sunday.,0
I hope to go for a bike ride from 7.00AM to 8.00AM tomorrow morning.,0
I desire to do some meditation from 5.00PM to 5.30PM tonight.,0
Edit a video for 1 hour from 2 pm on Thursday.,0
I aim to write a letter to a friend from 1.00PM to 2.00PM this Friday.,0
I intend to have a catch-up call with a colleague from 11.00AM to 12.00PM this Saturday.,0
I hope to do some volunteer work from 10.00AM to 12.00PM this Sunday.,0
Create a workout plan for the week for 30 minutes from 5 pm today.,0
I plan to go grocery shopping from 2.00PM to 3.00PM this Tuesday.,0
I aim to clean my house from 9.00AM to 11.00AM this Wednesday.,0
I intend to practice a musical instrument from 6.00PM to 7.00PM this Thursday.,0
Plan out weekly meals for 30 minutes from 4 pm every Sunday,0
I desire to take an online course from 2.00PM to 3.00PM this Saturday.,0
I plan to do some journaling from 8.00PM to 9.00PM this Sunday.,0
I aim to work on a side project from 7.00PM to 9.00PM tonight.,0
I intend to do some budgeting from 1.00PM to 2.00PM this Monday.,0
I hope to take a bubble bath from 9.00PM to 10.00PM tonight.,0
I plan to have a virtual meeting with my team from 2.00PM to 3.00PM this Tuesday.,0
I desire to take a cooking class from 6.00PM to 8.00PM this Wednesday.,0
I aim to complete my household chores from 9.00AM to 11.00AM this Thursday.,0
I hope to spend time with my family from 4.00PM to 6.00PM this Friday.,0
I want to go for a hike from 10.00AM to 12.00PM this Saturday.,0
I intend to do some grocery shopping from 2.00PM to 3.00PM this Sunday.,0
Read a book on finance for 45 minutes from 8 am ,0
Practice playing an instrument for 1 hour from 5 pm ,0
I plan to take an online course from 3.00PM to 5.00PM this Wednesday.,0
I aim to finish a painting from 2.00PM to 3.00PM this Thursday.,0
I hope to have a phone call with my friend from 2pm to 3pm this Friday,0
I want to volunteer at a local charity from 10.00AM to 12.00PM this Saturday.,0
I intend to work on my garden from 4.00PM to 5.00PM this Sunday.,0
